fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
06. Jun;0.19;0.41;08. Sep;0.046;51;169;0.9954;Mrz 14;0.57;09. Aug;6
06. Jul;0.2;0.41;09. Jan;0.044;50;166;0.9954;Mrz 14;0.58;09. Aug;6
07. Jul;0.26;0.4;01. Jan;0.042;9;60;0.9915;Feb 89;0.5;10. Jun;5
06. Aug;0.32;0.34;01. Feb;0.044;14;67;0.9919;03. Mai;0.47;10. Jun;4
7;0.3;0.49;04. Jul;0.036;17;105;0.9916;Mrz 26;0.68;12. Apr;7
7;0.24;0.36;02. Aug;0.034;22;112;0.99;Mrz 19;0.38;12. Jun;8
06. Jan;0.31;0.58;5;0.039;36;114;0.9909;03. Mrz;0.6;12. Mrz;8
06. Aug;0.44;0.37;05. Jan;0.047;46;201;0.9938;03. Aug;0.65;10. Mai;4
06. Jul;0.34;0.3;15. Jun;0.054;51;196;0.9982;Mrz 19;0.49;09. Mrz;5
07. Jan;0.35;0.24;15. Apr;0.055;46;198;0.9988;03. Dez;0.49;08. Aug;5
07. Mrz;0.32;0.25;07. Feb;0.056;47;180;0.9961;03. Aug;0.47;08. Aug;5
06. Mai;0.28;0.33;15. Jul;0.053;51;190;0.9978;Mrz 22;0.51;09. Jul;6
07. Feb;0.23;0.39;14. Feb;0.058;49;192;0.9979;Feb 98;0.48;9;7
07. Feb;0.23;0.39;14. Feb;0.058;49;192;0.9979;Feb 98;0.48;9;7
07. Feb;0.23;0.39;14. Feb;0.058;49;192;0.9979;Feb 98;0.48;9;7
07. Feb;0.23;0.39;14. Feb;0.058;49;192;0.9979;Feb 98;0.48;9;7
05. Sep;0.15;0.31;05. Aug;0.041;53;155;0.9945;Mrz 52;0.46;10. Mai;6
07. Apr;0.28;0.42;19. Aug;0.066;53;195;1;Feb 96;0.44;09. Jan;5
06. Feb;0.28;0.22;07. Mrz;0.041;26;157;0.9957;Mrz 44;0.64;09. Aug;7
09. Jan;0.59;0.38;01. Jun;0.066;34;182;0.9968;Mrz 23;0.38;08. Mai;3
06. Mrz;0.33;0.27;01. Feb;0.046;34;175;0.9934;Mrz 37;0.54;09. Apr;6
08. Mrz;0.39;0.7;10. Jun;0.045;33;169;0.9976;03. Sep;0.57;09. Apr;5
07. Feb;0.19;0.46;03. Aug;0.041;82;187;0.9932;Mrz 19;0.6;11. Feb;7
07. Mai;0.17;0.44;11. Mrz;0.046;65;146;0.997;Mrz 17;0.45;10;6
06. Jul;0.17;0.5;02. Jan;0.043;27;122;0.9923;Mrz 15;0.45;10. Mrz;6
06. Jan;0.41;0;01. Jun;0.063;36;87;0.9914;Mrz 27;0.67;10. Aug;6
08. Mrz;0.2;0.35;0.9;0.05;12;74;0.992;Mrz 13;0.38;10. Mai;6
06. Jan;0.41;0;01. Jun;0.063;36;87;0.9914;Mrz 27;0.67;10. Aug;6
6;0.29;0.21;01. Mrz;0.055;42;168;0.9914;Mrz 32;0.43;11. Jan;6
07. Mrz;0.41;0.24;06. Aug;0.057;41;163;0.9949;03. Feb;0.41;09. Sep;6
07. Mrz;0.41;0.24;06. Aug;0.057;41;163;0.9949;03. Feb;0.41;09. Sep;6
07. Feb;0.43;0.24;06. Jul;0.058;40;163;0.995;03. Feb;0.41;09. Sep;5
07. Mrz;0.4;0.24;06. Jul;0.058;41;166;0.995;03. Feb;0.41;09. Sep;6
06. Feb;0.33;0.27;04. Sep;0.036;30;134;0.9927;03. Feb;0.42;10. Apr;7
06. Feb;0.31;0.26;04. Aug;0.037;36;148;0.9928;Mrz 21;0.41;10. Apr;6
06. Jan;0.36;0.27;02. Jan;0.035;16;100;0.9917;03. Apr;0.71;11. Mai;7
5;0.55;0.14;08. Mrz;0.032;35;164;0.9918;Mrz 53;0.51;12. Mai;8
07. Aug;0.25;0.41;03. Jul;0.042;37;149;0.9954;Mrz 36;0.45;10;6
05. Jul;0.36;0.21;06. Jul;0.038;51;166;0.9941;Mrz 29;0.63;10;6
05. Aug;0.34;0.21;06. Jun;0.04;50;167;0.9941;Mrz 29;0.62;10;5
06. Aug;0.28;0.6;01. Jan;0.132;42;127;0.9934;03. Sep;0.44;09. Jan;6
06. Aug;0.25;0.34;04. Jul;0.031;34;134;0.9927;Mrz 21;0.38;10. Jun;6
06. Jun;0.24;0.35;07. Jul;0.031;36;135;0.9938;Mrz 19;0.37;10. Mai;5
05. Sep;0.3;0.47;Jul 85;0.03;19;133;0.9933;Mrz 52;0.43;11. Mai;7
06. Jan;0.125;0.25;03. Mrz;0.04;10;69;0.9934;Mrz 54;0.59;10. Jan;6
6;0.1;0.24;01. Jan;0.041;15;65;0.9927;Mrz 61;0.61;10. Mrz;7
06. Jun;0.24;0.35;07. Jul;0.031;36;135;0.9938;Mrz 19;0.37;10. Mai;5
06. Aug;0.25;0.34;04. Jul;0.031;34;134;0.9927;Mrz 21;0.38;10. Jun;6
06. Aug;0.28;0.44;09. Mrz;0.031;35;137;0.9946;Mrz 16;0.36;10. Apr;6
08. Mrz;0.41;0.51;2;0.046;11;207;0.993;03. Feb;0.55;11. Apr;5
07. Mai;0.27;0.31;05. Aug;0.057;131;313;0.9946;Mrz 18;0.59;10. Mai;5
07. Sep;0.26;0.41;15.15;0.04;38;216;0.9976;Feb 96;0.6;10;6
06. Apr;0.34;0.23;06. Mrz;0.039;37;143;0.9944;Mrz 19;0.65;10;6
06. Mai;0.28;0.35;15. Apr;0.042;55;195;0.9978;Mrz 23;0.5;09. Jun;6
07. Feb;0.21;0.41;01. Mrz;0.036;33;85;0.992;Mrz 17;0.51;10. Apr;5
06. Apr;0.32;0.35;04. Aug;0.03;34;101;0.9912;Mrz 36;0.6;12. Mai;8
06. Aug;0.24;0.34;04. Jun;0.032;37;135;0.9927;03. Feb;0.39;10. Jun;5
06. Mrz;0.23;0.3;01. Aug;0.033;16;91;0.9906;Mrz 28;0.4;11. Aug;6
06. Mai;0.28;0.34;09. Sep;0.038;30;133;0.9954;03. Nov;0.44;09. Aug;5
05. Jun;0.26;0.26;05. Jul;0.031;12;80;0.9923;Mrz 25;0.38;10. Aug;5
06. Mrz;0.23;0.3;01. Aug;0.033;16;91;0.9906;Mrz 28;0.4;11. Aug;6
06. Mrz;0.23;0.33;01. Mai;0.036;15;105;0.991;Mrz 32;0.42;11. Feb;6
05. Aug;0.27;0.27;12. Mrz;0.045;55;170;0.9972;Mrz 28;0.42;09. Mrz;6
05. Sep;0.26;0.4;01. Mrz;0.047;12;139;0.9945;Mrz 45;0.53;10. Apr;5
06. Jun;0.18;0.35;01. Mai;0.049;49;141;0.9934;Mrz 43;0.85;10. Feb;7
07. Apr;0.2;0.43;07. Aug;0.045;27;153;0.9964;Mrz 19;0.55;9;7
8;0.24;0.36;01. Mai;0.047;17;129;0.9948;03. Feb;0.54;10;6
06. Apr;0.26;0.42;09. Jul;0.044;30;140;0.9962;Mrz 18;0.47;09. Jan;6
05. Apr;0.31;0.47;3;0.053;46;144;0.9931;Mrz 29;0.76;10;5
05. Apr;0.29;0.47;3;0.052;47;145;0.993;Mrz 29;0.75;10;6
07. Jan;0.145;0.33;04. Jun;0.05;33;131;0.9942;Mrz 28;0.4;09. Jun;6
05. Jun;0.34;0.1;01. Mrz;0.031;20;68;0.9906;Mrz 36;0.51;11. Feb;7
06. Jul;0.19;0.41;15. Jun;0.056;75;155;0.9995;03. Feb;0.44;08. Aug;6
07. Aug;0.18;0.46;13. Jun;0.052;38;118;0.998;Mrz 15;0.5;10;6
07. Jun;0.17;0.45;11. Feb;0.054;56;137;0.997;Mrz 15;0.47;10;5
06. Mrz;0.12;0.36;02. Jan;0.044;47;146;0.9914;Mrz 27;0.74;11. Apr;7
07. Mrz;0.33;0.4;Jun 85;0.038;32;138;0.992;03. Mrz;0.3;11. Sep;7
05. Mai;0.335;0.3;02. Mai;0.071;27;128;0.9924;Mrz 14;0.51;09. Jun;6
07. Mrz;0.33;0.4;Jun 85;0.038;32;138;0.992;03. Mrz;0.3;11. Sep;7
05. Aug;0.4;0.42;04. Apr;0.047;38.5;245;0.9937;Mrz 25;0.57;09. Jun;6
07. Mrz;0.22;0.37;14. Mrz;0.063;48;191;0.9978;Feb 89;0.38;9;6
07. Mrz;0.22;0.37;14. Mrz;0.063;48;191;0.9978;Feb 89;0.38;9;6
06. Jan;0.36;0.33;01. Jan;0.05;24;169;0.9927;Mrz 15;0.78;09. Mai;6
10;0.2;0.39;01. Apr;0.05;19;152;0.994;3;0.42;10. Apr;6
06. Sep;0.24;0.34;04. Jul;0.04;43;161;0.9935;03. Feb;0.59;10. Jun;6
06. Apr;0.24;0.32;14. Sep;0.047;54;162;0.9968;Mrz 28;0.5;10. Feb;6
07. Jan;0.365;0.14;01. Feb;0.055;24;84;0.9941;Mrz 15;0.43;08. Sep;5
06. Aug;0.15;0.3;05. Mrz;0.05;40;127;0.9942;03. Apr;0.39;09. Jul;6
07. Mrz;0.22;0.37;14. Mrz;0.063;48;191;0.9978;Feb 89;0.38;9;6
06. Aug;0.16;0.4;02. Mrz;0.037;18;102;0.9923;Mrz 49;0.42;11. Apr;7
6;0.26;0.32;03. Mai;0.028;29;113;0.9912;03. Apr;0.71;12. Mrz;7
6;0.18;0.27;01. Mai;0.089;40;143;0.9923;Mrz 49;0.62;10. Aug;6
06. Sep;0.33;0.21;1;0.053;39;148;0.9927;03. Dez;0.45;09. Apr;6
07. Jul;0.29;0.48;02. Mrz;0.049;36;178;0.9931;Mrz 17;0.64;10. Jun;6
07. Jan;0.39;0.35;12. Mai;0.044;26;72;0.9941;Mrz 17;0.29;11. Jun;5
06. Sep;0.33;0.21;1;0.053;39;148;0.9927;03. Dez;0.45;09. Apr;6
07. Jul;0.29;0.48;02. Mrz;0.049;36;178;0.9931;Mrz 17;0.64;10. Jun;6
06. Jun;0.905;0.19;0.8;0.048;17;204;0.9934;Mrz 34;0.56;10;5
07. Feb;0.27;0.27;02. Apr;0.048;30;149;0.9936;03. Jan;0.51;09. Feb;6
05. Jan;0.33;0.22;01. Jun;0.027;18;89;0.9893;Mrz 51;0.38;12. Mai;7
05. Jan;0.33;0.22;01. Jun;0.027;18;89;0.9893;Mrz 51;0.38;12. Mai;7
06. Apr;0.31;0.28;01. Mai;0.037;12;119;0.9919;Mrz 32;0.51;10. Apr;7
07. Mrz;0.2;0.44;01. Apr;0.045;21;98;0.9924;Mrz 15;0.46;10;7
05. Jul;0.32;0.5;02. Jun;0.049;17;155;0.9927;Mrz 22;0.64;10;6
06. Apr;0.31;0.28;01. Mai;0.037;12;119;0.9919;Mrz 32;0.51;10. Apr;7
07. Mrz;0.2;0.44;01. Apr;0.045;21;98;0.9924;Mrz 15;0.46;10;7
07. Feb;0.28;0.26;12. Mai;0.046;48;179;0.9975;03. Jan;0.52;9;6
07. Mai;0.35;0.28;09. Jun;0.051;26;157;0.9969;03. Dez;0.53;09. Feb;6
07. Feb;0.27;0.27;02. Apr;0.048;30;149;0.9936;03. Jan;0.51;09. Feb;6
6;0.36;0.39;03. Feb;0.027;20;125;0.991;Mrz 38;0.39;11. Mrz;7
05. Jan;0.33;0.22;01. Jun;0.027;18;89;0.9893;Mrz 51;0.38;12. Mai;7
5;0.17;0.56;01. Mai;0.026;24;115;0.9906;Mrz 48;0.39;10. Aug;7
06. Mrz;0.39;0.35;05. Sep;0.04;82.5;260;0.9941;03. Dez;0.66;10. Jan;5
06. Jul;0.21;0.32;05. Apr;0.047;29;140;0.995;Mrz 39;0.46;09. Jul;6
7;0.3;0.38;14. Sep;0.032;60;181;0.9983;Mrz 18;0.61;09. Mrz;7
7;0.3;0.38;14. Sep;0.032;60;181;0.9983;Mrz 18;0.61;09. Mrz;7
06. Mai;0.36;0.32;01. Jan;0.031;13;66;0.9916;03. Jan;0.46;10. Jun;5
06. Jan;0.55;0.15;09. Aug;0.031;19;125;0.9957;Mrz 36;0.47;10. Feb;6
07. Mrz;0.24;0.43;2;0.021;20;69;0.99;03. Aug;0.56;12. Feb;6
06. Aug;0.37;0.51;11. Aug;0.044;62;163;0.9976;Mrz 19;0.44;08. Aug;5
06. Aug;0.27;0.12;01. Mrz;0.04;87;168;0.992;Mrz 18;0.41;10;5
08. Feb;0.28;0.42;01. Aug;0.031;30;93;0.9917;03. Sep;0.39;11. Apr;5
06. Mrz;0.2;0.4;01. Mai;0.037;35;107;0.9917;Mrz 46;0.5;11. Apr;6
05. Sep;0.26;0.27;18. Feb;0.048;52;168;0.9993;Mrz 35;0.44;09. Apr;5
06. Apr;0.19;0.42;02. Sep;0.032;32;83;0.9908;03. Mrz;0.41;11. Jul;6
06. Mrz;0.2;0.4;01. Mai;0.037;35;107;0.9917;Mrz 46;0.5;11. Apr;6
06. Aug;0.37;0.51;11. Aug;0.044;62;163;0.9976;Mrz 19;0.44;08. Aug;5
06. Jan;0.35;0.07;01. Apr;0.069;22;108;0.9934;Mrz 23;0.52;09. Feb;5
07. Jan;0.27;0.31;18. Feb;0.046;55;252;1;03. Jul;0.56;08. Jul;5
06. Aug;0.22;0.31;06. Mrz;0.035;33;170;0.9918;Mrz 24;0.66;12. Jun;6
06. Aug;0.27;0.12;01. Mrz;0.04;87;168;0.992;Mrz 18;0.41;10;5
05. Aug;0.28;0.34;4;0.031;40;99;0.9896;Mrz 39;0.39;12. Aug;7
06. Sep;0.49;0.24;01. Feb;0.049;13;125;0.9932;Mrz 17;0.51;09. Apr;5
06. Mrz;0.14;0.39;01. Feb;0.044;26;116;0.992;Mrz 26;0.53;10. Mrz;6
08. Feb;0.28;0.42;01. Aug;0.031;30;93;0.9917;03. Sep;0.39;11. Apr;5
07. Feb;0.25;0.39;18.95;0.038;42;155;0.9999;Feb 97;0.47;9;6
07. Mrz;0.28;0.36;12. Jul;0.04;38;140;0.998;03. Mrz;0.79;09. Jun;6
07. Feb;0.19;0.39;01. Feb;0.036;32;85;0.9918;Mrz 16;0.5;10. Mai;5
07. Feb;0.19;0.39;01. Feb;0.036;32;85;0.9918;Mrz 16;0.5;10. Mai;5
07. Feb;0.25;0.39;18.95;0.038;42;155;0.9999;Feb 97;0.47;9;6
07. Mrz;0.28;0.36;12. Jul;0.04;38;140;0.998;03. Mrz;0.79;09. Jun;6
07. Apr;0.21;0.27;01. Feb;0.041;27;99;0.9927;Mrz 19;0.33;09. Aug;6
06. Aug;0.26;0.22;07. Jul;0.047;57;210;0.9959;03. Jan;0.47;9;5
07. Apr;0.21;0.27;01. Feb;0.041;27;99;0.9927;Mrz 19;0.33;09. Aug;6
07. Apr;0.31;0.28;01. Jun;0.05;33;137;0.9929;Mrz 31;0.56;10. Mai;6
7;0.22;0.31;02. Jul;0.03;41;136;0.9898;Mrz 16;0.37;12. Jul;7
7;0.21;0.28;08. Jul;0.045;37;222;0.9954;Mrz 25;0.54;10. Apr;6
7;0.21;0.28;08. Jun;0.045;37;221;0.9954;Mrz 25;0.54;10. Apr;6
7;0.21;0.28;08. Jun;0.045;37;221;0.9954;Mrz 25;0.54;10. Apr;6
06. Sep;0.23;0.38;08. Mrz;0.047;47;162;0.9954;Mrz 34;0.52;10. Mai;7
7;0.21;0.28;08. Jul;0.045;37;222;0.9954;Mrz 25;0.54;10. Apr;6
7;0.21;0.28;08. Jun;0.045;37;221;0.9954;Mrz 25;0.54;10. Apr;6
06. Aug;0.29;0.5;13. Mrz;0.053;48;194;0.9974;03. Sep;0.45;09. Apr;5
07. Aug;0.21;0.27;01. Feb;0.051;20;89;0.9936;03. Jun;0.46;09. Jan;5
07. Jan;0.31;0.47;13. Jun;0.056;54;197;0.9978;03. Jan;0.49;09. Mrz;5
06. Aug;0.29;0.5;13. Mrz;0.053;48;194;0.9974;03. Sep;0.45;09. Apr;5
06. Apr;0.34;0.1;01. Jan;0.048;19;84;0.9927;Mrz 21;0.38;09. Aug;5
07. Apr;0.155;0.34;02. Mrz;0.045;73.5;214;0.9934;Mrz 18;0.61;09. Sep;7
07. Feb;0.55;0.09;01. Mai;0.108;16;151;0.9938;03. Jul;0.57;09. Feb;4
7;0.23;0.36;07. Jan;0.028;31;104;0.9922;Mrz 35;0.47;12. Jan;8
06. Sep;0.2;0.37;06. Feb;0.027;24;97;0.992;Mrz 38;0.49;12. Feb;7
06. Jan;0.28;0.32;02. Mai;0.042;23;218.5;0.9935;Mrz 27;0.6;09. Aug;5
06. Jun;0.16;0.32;01. Apr;0.035;49;186;0.9906;Mrz 35;0.64;12. Apr;8
07. Apr;0.155;0.34;02. Mrz;0.045;73.5;214;0.9934;Mrz 18;0.61;09. Sep;7
06. Feb;0.35;0.04;01. Feb;0.06;23;108;0.9934;Mrz 26;0.54;09. Feb;5
06. Jul;0.22;0.37;01. Jun;0.028;24;102;0.9913;Mrz 29;0.59;11. Jun;7
06. Jan;0.38;0.2;06. Jun;0.033;25;137;0.9938;03. Mrz;0.69;10. Apr;6
6;0.25;0.28;02. Feb;0.026;54;126;0.9898;Mrz 43;0.65;12. Sep;8
06. Jun;0.52;0.44;12. Feb;0.048;54;245;0.9975;Mrz 26;0.54;09. Mrz;6
06. Sep;0.24;0.36;20. Aug;0.031;40;139;0.9975;03. Feb;0.33;11;6
07. Jan;0.32;0.32;11;0.038;16;66;0.9937;Mrz 24;0.4;11. Mai;3
05. Aug;0.28;0.27;02. Jun;0.054;30;156;0.9914;Mrz 53;0.42;12. Apr;5
06. Mai;0.41;0.24;14;0.048;24;113;0.9982;Mrz 44;0.53;09. Aug;6
06. Mai;0.41;0.24;14;0.048;24;113;0.9982;Mrz 44;0.53;09. Aug;6
06. Apr;0.28;0.29;01. Jun;0.052;34;127;0.9929;Mrz 48;0.56;10. Mai;7
07. Feb;0.6;0.2;09. Sep;0.07;21;174;0.9971;03. Mrz;0.54;09. Jan;5
06. Jan;0.2;0.25;01. Feb;0.038;34;128;0.9921;Mrz 24;0.44;10. Jan;5
05. Sep;0.46;0.14;02. Jul;0.042;27;160;0.9931;Mrz 46;0.51;10. Jun;7
6;0.27;0.27;01. Jun;0.046;32;113;0.9924;Mrz 41;0.51;10. Mai;7
06. Apr;0.28;0.29;01. Jun;0.052;34;127;0.9929;Mrz 48;0.56;10. Mai;7
06. Apr;0.41;0.24;14;0.048;24;113;0.9982;Mrz 44;0.53;09. Aug;6
06. Mrz;0.23;0.31;01. Mai;0.022;11;82;0.9892;03. Mrz;0.4;12. Sep;7
07. Jan;0.21;0.27;08. Jun;0.056;26;111;0.9956;Feb 95;0.52;09. Mai;5
6;0.37;0.32;1;0.053;31;218.5;0.9924;Mrz 29;0.72;09. Aug;6
06. Jan;0.43;0.35;09. Jan;0.059;83;249;0.9971;Mrz 37;0.5;08. Mai;5
07. Jan;0.21;0.27;08. Jun;0.056;26;111;0.9956;Feb 95;0.52;09. Mai;5
7;0.25;0.29;15. Feb;0.047;40;171;0.9982;Mrz 22;0.45;09. Mrz;5
05. Sep;0.25;0.19;12. Apr;0.047;50;162;0.9973;Mrz 35;0.38;09. Mai;5
06. Aug;0.32;0.21;02. Feb;0.044;15;68;0.9932;Mrz 17;0.39;09. Apr;6
07. Feb;0.39;0.62;11;0.047;66;178;0.9976;Mrz 16;0.5;08. Jul;5
06. Mrz;0.21;0.58;10;0.081;34;126;0.9962;Feb 95;0.46;08. Sep;5
7;0.14;0.32;9;0.039;54;141;0.9956;Mrz 22;0.43;09. Apr;6
06. Aug;0.32;0.21;02. Feb;0.044;15;68;0.9932;Mrz 17;0.39;09. Apr;6
07. Feb;0.39;0.62;11;0.047;66;178;0.9976;Mrz 16;0.5;08. Jul;5
07. Feb;0.29;0.53;18.15;0.047;59;182;0.9992;03. Sep;0.52;09. Jun;5
08. Jun;0.37;0.7;Dez 15;0.039;21;158;0.9983;3;0.73;09. Mrz;6
06. Mai;0.38;0.34;03. Apr;0.036;34;200;0.9937;Mrz 14;0.76;10;5
06. Jun;0.24;0.29;2;0.023;19;86;0.99;Mrz 25;0.45;12. Mai;6
7;0.17;0.31;04. Aug;0.034;34;132;0.9944;Mrz 36;0.48;09. Jun;7
05. Mai;0.16;0.22;04. Mai;0.03;30;102;0.9938;Mrz 24;0.36;09. Apr;6
7;0.24;0.51;11;0.029;55;227;0.9965;03. Mrz;0.61;09. Mai;5
07. Apr;0.28;0.36;01. Jan;0.028;42;105;0.9893;Feb 99;0.39;12. Apr;7
7;0.22;0.28;01. Mai;0.037;29;115;0.9927;03. Nov;0.55;10. Mai;6
07. Jan;0.55;0.13;01. Jul;0.073;21;165;0.994;Feb 97;0.58;09. Feb;6
06. Mrz;0.22;0.33;01. Jul;0.041;67;164;0.9928;Mrz 32;0.56;10. Apr;6
06. Jul;0.47;0.34;08. Sep;0.043;31;172;0.9964;Mrz 22;0.6;09. Feb;5
05. Sep;0.36;0.41;01. Mrz;0.047;45;104;0.9917;Mrz 33;0.51;10. Jun;6
05. Aug;0.25;0.24;13. Mrz;0.044;41;137;0.9972;Mrz 34;0.42;09. Mai;5
06. Jul;0.47;0.34;08. Sep;0.043;31;172;0.9964;Mrz 22;0.6;09. Feb;5
06. Feb;0.37;0.3;06. Jun;0.346;79;200;0.9954;Mrz 29;0.58;09. Jun;5
06. Feb;0.18;0.38;01. Mai;0.028;36;117;0.993;Mrz 47;0.54;09. Jul;6
6;0.16;0.37;01. Mai;0.025;43;117;0.9928;Mrz 46;0.51;09. Jul;6
06. Jun;0.34;0.28;01. Mrz;0.035;32;90;0.9916;03. Jan;0.42;10. Jul;6
07. Apr;0.29;0.29;01. Jun;0.045;53;180;0.9936;Mrz 34;0.68;10. Mai;6
07. Apr;0.26;0.31;07. Jun;0.047;52;177;0.9962;Mrz 13;0.45;08. Sep;6
7;0.28;0.36;1;0.035;8;70;0.9899;03. Sep;0.46;12. Jan;6
07. Jan;0.23;0.39;01. Jun;0.032;12;65;0.9898;Mrz 25;0.4;12. Jul;7
07. Aug;0.19;0.26;08. Sep;0.039;42;182;0.996;Mrz 18;0.46;09. Sep;6
06. Mrz;0.19;0.28;01. Aug;0.022;28;158;0.9907;03. Feb;0.64;11. Apr;6
06. Aug;0.2;0.38;04. Jul;0.04;27;103;0.994;Mrz 37;0.58;10. Jul;6
05. Jul;0.44;0.13;7;0.025;28;173;0.9913;Mrz 33;0.48;12. Mai;6
07. Feb;0.4;0.62;10. Aug;0.041;70;189;0.9976;03. Aug;0.49;08. Jun;4
06. Aug;0.23;0.32;01. Jun;0.026;43;147;0.9904;Mrz 29;0.54;12. Mai;6
05. Jul;0.335;0.34;1;0.04;13;174;0.992;Mrz 27;0.66;10;5
07. Feb;0.4;0.62;10. Aug;0.041;70;189;0.9976;03. Aug;0.49;08. Jun;4
07. Feb;0.28;0.54;16. Jul;0.045;54;200;0.999;03. Aug;0.49;09. Mai;6
06. Aug;0.19;0.58;14. Feb;0.038;51;164;0.9975;03. Dez;0.48;09. Jun;6
06. Apr;0.3;0.3;Feb 25;0.038;8;210;0.9937;03. Feb;0.62;09. Sep;6
06. Mai;0.3;0.29;Feb 25;0.037;8;210;0.9937;Mrz 19;0.62;09. Sep;5
07. Aug;0.18;0.31;12. Feb;0.053;46;140;0.998;03. Jun;0.53;08. Sep;6
07. Aug;0.18;0.31;12. Feb;0.053;46;140;0.998;03. Jun;0.53;08. Sep;6
07. Mrz;0.51;0.26;03. Mrz;0.09;7;135;0.9944;03. Jan;0.52;08. Aug;5
6;0.24;0.27;01. Sep;0.048;40;170;0.9938;Mrz 64;0.54;10;7
05. Sep;0.62;0.28;03. Mai;0.039;55;152;0.9907;Mrz 44;0.44;12;6
6;0.24;0.27;01. Sep;0.048;40;170;0.9938;Mrz 64;0.54;10;7
06. Jul;0.27;0.12;01. Mrz;0.041;62;138;0.9921;Mrz 21;0.42;10;6
07. Aug;0.34;0.35;01. Aug;0.042;8;167;0.9908;03. Nov;0.41;12. Jan;6
07. Mrz;0.26;0.36;05. Feb;0.04;31;141;0.9931;Mrz 16;0.59;11;6
07. Apr;0.36;0.33;01. Apr;0.025;27;55;0.9915;Mrz 21;0.33;11. Feb;6
07. Aug;0.28;0.32;9;0.036;34;115;0.9952;Mrz 17;0.39;10. Mrz;7
06. Jan;0.31;0.26;02. Feb;0.051;28;167;0.9926;Mrz 37;0.47;10. Apr;6
06. Aug;0.18;0.37;01. Jun;0.055;47;154;0.9934;03. Aug;0.45;09. Jan;5
07. Apr;0.15;0.42;01. Jul;0.045;49;154;0.992;3;0.6;10. Apr;6
05. Sep;0.13;0.28;01. Sep;0.05;20;78;0.9918;Mrz 43;0.64;10. Aug;6
07. Feb;0.34;0.34;12. Jun;0.048;7;41;0.9942;Mrz 19;0.4;11. Jul;5
07. Sep;0.19;0.26;02. Jan;0.039;8;143;0.9942;03. Mai;0.74;09. Aug;5
07. Sep;0.19;0.26;02. Jan;0.039;8;143;0.9942;03. Mai;0.74;09. Aug;5
06. Sep;0.25;0.4;01. Mrz;0.038;22;101;0.9901;03. Mrz;0.39;11. Apr;6
05. Aug;0.36;0.32;01. Jul;0.033;22;96;0.9898;03. Mrz;0.38;11. Feb;6
05. Jun;0.35;0.37;1;0.038;6;72;0.9902;Mrz 37;0.34;11. Apr;5
05. Sep;0.32;0.39;03. Mrz;0.114;24;140;0.9934;03. Sep;0.45;09. Feb;6
07. Feb;0.31;0.46;5;0.04;3;29;0.9906;03. Apr;0.53;12. Mai;4
06. Jan;0.28;0.22;01. Aug;0.034;32;116;0.9898;Mrz 36;0.44;12. Jun;6
05. Feb;0.36;0.02;01. Jun;0.031;24;104;0.9896;Mrz 44;0.35;12. Feb;6
05. Jun;0.19;0.47;04. Mai;0.03;19;112;0.9922;Mrz 56;0.45;11. Feb;6
06. Apr;0.1;0.35;04. Sep;0.048;31;103;0.9947;Mrz 43;0.79;09. Jul;6
06. Apr;0.18;0.48;4;0.186;64;150;0.9945;03. Jun;0.4;09. Mrz;5
07. Apr;0.25;0.36;13. Feb;0.067;53;178;0.9976;03. Jan;0.48;9;6
07. Apr;0.25;0.36;13. Feb;0.067;53;178;0.9976;03. Jan;0.48;9;6
07. Apr;0.25;0.36;13. Feb;0.067;53;178;0.9976;03. Jan;0.48;9;6
07. Sep;0.345;0.51;15. Mrz;0.047;54;171;0.9987;03. Sep;0.51;09. Jan;5
07. Sep;0.345;0.51;15. Mrz;0.047;54;171;0.9987;03. Sep;0.51;09. Jan;5
07. Apr;0.25;0.36;13. Feb;0.067;53;178;0.9976;03. Jan;0.48;9;6
06. Jan;0.24;0.3;01. Mai;0.045;22;61;0.992;Mrz 31;0.54;10. Apr;5
06. Aug;0.25;0.24;Apr 55;0.053;41;211;0.9955;Mrz 37;0.67;09. Mai;6
06. Jul;0.31;0.31;09. Sep;0.04;10;175;0.9953;Mrz 46;0.55;11. Apr;4
07. Feb;0.46;0.65;10. Apr;0.05;76;192;0.9976;Mrz 16;0.42;08. Jul;5
05. Mai;0.35;0.35;01. Jan;0.045;14;167;0.992;Mrz 34;0.68;09. Sep;6
06. Jul;0.24;0.41;08. Jul;0.036;29;148;0.9952;Mrz 22;0.62;09. Sep;6
06. Aug;0.28;0.17;13. Sep;0.047;49;162;0.9983;Mrz 21;0.51;9;6
06. Apr;0.16;0.22;01. Apr;0.04;41;149;0.9933;Mrz 49;0.58;10;6
06. Mrz;0.26;0.24;07. Feb;0.039;38;172;0.9958;Mrz 49;0.64;09. Jul;6
07. Jul;0.22;0.42;01. Sep;0.052;10;87;0.9922;03. Mrz;0.49;11. Aug;6
06. Mai;0.18;0.31;01. Jul;0.044;30;127;0.9928;Mrz 49;0.5;10. Feb;7
07. Feb;0.46;0.65;10. Apr;0.05;76;192;0.9976;Mrz 16;0.42;08. Jul;5
7;0.3;0.51;13. Jun;0.05;40;168;0.9976;03. Jul;0.52;09. Jun;7
